LOC_ID,X_COORD,Y_COORD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,,LeopardRAI,SpHyRAI,HumanRAI,PreyRAI,ReserveSize,Impenetrable
Kwact1,453387.8052,6341250.637,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.190228331,-0.346600667,-0.308484491,-0.144621905,183,Yes
Kwact2,451725.7234,6340024.267,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.398191471,-0.146321058,183,Yes
Kwact3,455478.6977,6341314.942,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.112162878,-0.315613988,183,Yes
Kwact4,456971.2814,6340376.531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.084158178,-0.055900115,183,Yes
Kwact5,459147.2644,6341034.466,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.393683816,-0.071901886,183,Yes
Kwact6,461524.6422,6339954.257,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.382235607,-0.370643361,183,Yes
Kwact7,460980.5932,6338110.543,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,3.167734505,-0.346600667,0.469346493,0.494134345,183,Yes
Kwact8,459282.4579,6338015.59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.149502479,-0.227565371,183,Yes
Kwact9,458142.8573,6338929.778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,0.320215263,-0.346600667,1.049007635,6.670825396,183,Yes
Kwact10,456089.5707,6337639.267,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.093158816,-0.346600667,-0.397301648,-0.140913498,183,Yes
Kwact11,455587.1026,6338954.439,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,-0.563945962,-0.346600667,-0.472525252,-0.06280731,183,Yes
Kwact12,453569.2035,6337161.927,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,3.128245823,-0.346600667,-0.280191082,-0.153108151,183,Yes
Kwact13,451696.2671,6337426.58,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,1.11432303,-0.346600667,-0.476223986,-0.29168131,183,Yes
