Site,Year,Station,X,Y
Atherstone,2016,1,26.78262,-24.56769
Atherstone,2016,2,26.83592,-24.52624
Atherstone,2016,3,26.81355,-24.54215
Atherstone,2016,4,26.79677,-24.53412
Atherstone,2016,5,26.7788,-24.5322
Atherstone,2016,6,26.7287,-24.53855
Atherstone,2016,7,26.71801,-24.55694
Atherstone,2016,8,26.70131,-24.5242
Atherstone,2016,9,26.72068,-24.5132
Atherstone,2016,10,26.74493,-24.53983
Atherstone,2016,11,26.75883,-24.52233
Atherstone,2016,12,26.79104,-24.51354
Atherstone,2016,13,26.81055,-24.51993
Atherstone,2016,14,26.84958,-24.50556
Atherstone,2016,15,26.81588,-24.49653
Atherstone,2016,16,26.7811,-24.49165
Atherstone,2016,17,26.76699,-24.49634
Atherstone,2016,18,26.73915,-24.50655
Atherstone,2016,19,26.68285,-24.49157
Atherstone,2016,20,26.70674,-24.48121
Atherstone,2016,21,26.72072,-24.48738
Atherstone,2016,22,26.74912,-24.47401
Atherstone,2016,23,26.68136,-24.42039
Atherstone,2016,24,26.74105,-24.42629
Atherstone,2016,25,26.82836,-24.56552
Atherstone,2016,26,26.82593,-24.48173
Atherstone,2016,27,26.7145,-24.4629
Atherstone,2016,28,26.70533,-24.43069
Atherstone,2016,29,26.67968,-24.4489
Atherstone,2016,30,26.75956,-24.46206
Atherstone,2016,31,26.78547,-24.459
Atherstone,2016,32,26.7988,-24.47285
Atherstone,2016,33,26.77807,-24.43919
Atherstone,2016,34,26.75779,-24.44276
Atherstone,2016,35,26.72868,-24.44806
Atherstone,2016,36,26.73283,-24.41121
Atherstone,2016,37,26.75907,-24.40696
Atherstone,2016,38,26.77045,-24.54882
Atherstone,2016,39,26.69565,-24.49591
Atherstone,2016,40,26.79049,-24.55539
Dinokeng,2016,1,28.39283,-25.36472
Dinokeng,2016,2,28.41446,-25.37285
Dinokeng,2016,3,28.43239,-25.38375
Dinokeng,2016,4,28.43993,-25.42375
Dinokeng,2016,5,28.42898,-25.44147
Dinokeng,2016,6,28.45732,-25.45055
Dinokeng,2016,7,28.4041,-25.42228
Dinokeng,2016,8,28.42225,-25.40368
Dinokeng,2016,9,28.45147,-25.38269
Dinokeng,2016,10,28.39121,-25.38619
Dinokeng,2016,11,28.3885,-25.39968
Dinokeng,2016,12,28.36881,-25.38623
Dinokeng,2016,13,28.35731,-25.37016
Dinokeng,2016,14,28.37816,-25.3404
Dinokeng,2016,15,28.36578,-25.33789
Dinokeng,2016,16,28.36019,-25.3179
Dinokeng,2016,17,28.38032,-25.31317
Dinokeng,2016,18,28.39497,-25.32095
Dinokeng,2016,19,28.41035,-25.31754
Dinokeng,2016,20,28.34,-25.31929
Dinokeng,2016,21,28.33382,-25.30213
Dinokeng,2016,22,28.31627,-25.28147
Dinokeng,2016,23,28.30474,-25.28615
Dinokeng,2016,24,28.31876,-25.30556
Dinokeng,2016,25,28.3379,-25.32478
Dinokeng,2016,26,28.34491,-25.34277
Dinokeng,2016,27,28.31758,-25.38103
Dinokeng,2016,28,28.31606,-25.39551
Dinokeng,2016,29,28.31216,-25.41573
Dinokeng,2016,30,28.33472,-25.42314
Dinokeng,2016,31,28.35871,-25.42403
Dinokeng,2016,32,28.3537,-25.40355
Dinokeng,2016,33,28.33094,-25.40099
Dinokeng,2016,34,28.3434,-25.39207
Dinokeng,2016,35,28.33735,-25.37839
Dinokeng,2016,36,28.3619,-25.35633
Ithala,2016,1,31.20593,-27.49248
Ithala,2016,2,31.20604,-27.51612
Ithala,2016,3,31.21123,-27.56088
Ithala,2016,4,31.20977,-27.58459
Ithala,2016,5,31.23855,-27.59093
