TrapID	x	y		LeopardRAI	SpHyRAI	HumanRAI
Athct1	477988.0824	7282902.578	/	0.680272109	0	6.12244898
Athct3	481116.2406	7285735.016	/	0	0	3.401360544
Athct4	479415.4387	7286621.715	/	0	0	3.401360544
Athct5	477594.9644	7286831.502	/	0	0	3.472222222
Athct6	472521.7659	7286119.359	/	0.680272109	0	4.761904762
Athct7	471443.2023	7284080.996	/	0	0	14.96598639
Athct8	469744.1539	7287702.498	/	0	0	5.442176871
Athct9	471703.7874	7288924.552	/	0.680272109	0	5.442176871
Athct10	474165.8678	7285980.77	/	0	0	5.442176871
Athct11	475570.3142	7287920.942	/	1.388888889	0	4.861111111
Athct12	478831.613	7288899.508	/	0.520833333	0	6.25
Athct13	480809.0207	7288194.846	/	0.680272109	0	4.761904762
Athct15	481345.4886	7290786.464	/	0	0	4.761904762
Athct16	477820.8123	7291321.647	/	0.520833333	0	3.645833333
Athct17	476392.0421	7290800.025	/	0	0	3.636363636
Athct18	473573.4891	7289664.513	/	1.388888889	0	6.25
Athct19	467865.9376	7291311.199	/	2.040816327	0	4.081632653
Athct20	470284.0854	7292463.624	/	0.740740741	0	5.925925926
Athct21	471702.0607	7291783.403	/	0	0	3.787878788
Athct22	474577.0066	7293269.27	/	0.694444444	0	2.430555556
Athct23	467696.8223	7299192.021	/	0	0	6.12244898
Athct24	473749.3435	7298551.378	/	0.606060606	0	4.242424242
Athct25	482619.4299	7283149.383	/	0.666666667	0	4
Athct26	482361.6643	7292426.46	/	0.680272109	0	17.68707483
Athct27	471066.2226	7294492.584	/	0.724637681	0	5.797101449
Athct28	470129.3	7298056.971	/	1.162790698	0	5.813953488
Athct29	467533.8058	7296034.962	/	0.680272109	0	4.761904762
Athct30	475632.6513	7294594.269	/	0.520833333	0	3.125
Athct31	478257.979	7294937.393	/	0.680272109	0	4.081632653
Athct32	479611.1715	7293405.935	/	0	0	4.761904762
Athct33	477504.4907	7297129.593	/	0	0	4.787234043
Athct34	475449.531	7296730.875	/	0.512820513	0	4.102564103
Athct35	472500.0699	7296138.581	/	0	0	6.25
Athct38	476752.2639	7284989.915	/	2.040816327	0	5.442176871
Athct39	469163.9172	7290833.581	/	2.040816327	0	4.761904762
Athct40	478782.9317	7284265.7	/	0.680272109	0	8.163265306
Dinct1	640141.1314	7193936.546	/	0	0	5.442176871
Dinct2	642308.2115	7193013.255	/	0	0	9.803921569
Dinct3	644099.441	7191786.801	/	0	0	29.41176471
Dinct4	644810.2975	7187348.373	/	0	0	12.74509804
Dinct5	643687.9114	7185397.6	/	0	0	6
Dinct6	646526.9709	7184361.072	/	0	0	12.92517007
Dinct7	641208.2093	7187549.591	/	0	0	6
Dinct8	643055.7136	7189590.328	/	0	0	7.407407407
Dinct9	646020.4374	7191883.489	/	0	0	11.11111111
Dinct10	639953.3642	7191560.333	/	0	0	10.88435374
Dinct11	639665.179	7190069.082	/	0	0	4.081632653
Dinct12	637699.6416	7191579.179	/	0	0	7.751937984
Dinct13	636560.6995	7193370.799	/	0	0	4.761904762
Dinct14	638692.6579	7196645.385	/	0	0	9
Dinct15	637449.4682	7196936.149	/	0	0	5.6
Dinct16	636909.3226	7199155.838	/	0	0	25
Dinct17	638941.1451	7199658.975	/	0	0	9.433962264
Dinct18	640407.0065	7198782.032	/	0	0	3.5
Dinct19	641959.2148	7199143.492	/	0	0	4.166666667
Dinct20	634875.3287	7199022.377	/	0	0	8.333333333
Dinct21	634272.1383	7200929.097	/	0	0	6.25
Dinct22	632527.6878	7203234.693	/	0	0	10.37735849
Dinct23	631361.6271	7202727.72	/	0	0	13.19444444
Dinct24	632752.178	7200564.221	/	0	0	12.96296296
Dinct25	634657.8586	7198416.457	/	0	0	11.11111111
Dinct26	635343.4726	7196416.942	/	0	0	6.918238994
Dinct27	632551.091	7192206.906	/	0	0	4.761904762
