Site,X,Y
Atherstone,477988.0824,7282902.578
Atherstone,483379.7962,7287499.482
Atherstone,481116.2406,7285735.016
Atherstone,479415.4387,7286621.715
Atherstone,477594.9644,7286831.502
Atherstone,472521.7659,7286119.359
Atherstone,471443.2023,7284080.996
Atherstone,469744.1539,7287702.498
Atherstone,471703.7874,7288924.552
Atherstone,474165.8678,7285980.77
Atherstone,475570.3142,7287920.942
Atherstone,478831.613,7288899.508
Atherstone,480809.0207,7288194.846
Atherstone,484760.9705,7289790.783
Atherstone,481345.4886,7290786.464
Atherstone,477820.8123,7291321.647
Atherstone,476392.0421,7290800.025
Atherstone,473573.4891,7289664.513
Atherstone,467865.9376,7291311.199
Atherstone,470284.0854,7292463.624
Atherstone,471702.0607,7291783.403
Atherstone,474577.0066,7293269.27
Atherstone,467696.8223,7299192.021
Atherstone,473749.3435,7298551.378
Atherstone,482619.4299,7283149.383
Atherstone,482361.6643,7292426.46
Atherstone,471066.2226,7294492.584
Atherstone,470129.3,7298056.971
Atherstone,467533.8058,7296034.962
Atherstone,475632.6513,7294594.269
Atherstone,478257.979,7294937.393
Atherstone,479611.1715,7293405.935
Atherstone,477504.4907,7297129.593
Atherstone,475449.531,7296730.875
Atherstone,472500.0699,7296138.581
Atherstone,472912.8312,7300219.466
Atherstone,475572.3804,7300694.903
Atherstone,476752.2639,7284989.915
Atherstone,469163.9172,7290833.581
Atherstone,478782.9317,7284265.7
Dinokeng,640141.1314,7193936.546
Dinokeng,642308.2115,7193013.255
Dinokeng,644099.441,7191786.801
Dinokeng,644810.2975,7187348.373
Dinokeng,643687.9114,7185397.6
Dinokeng,646526.9709,7184361.072
Dinokeng,641208.2093,7187549.591
Dinokeng,643055.7136,7189590.328
Dinokeng,646020.4374,7191883.489
Dinokeng,639953.3642,7191560.333
Dinokeng,639665.179,7190069.082
Dinokeng,637699.6416,7191579.179
Dinokeng,636560.6995,7193370.799
Dinokeng,638692.6579,7196645.385
Dinokeng,637449.4682,7196936.149
Dinokeng,636909.3226,7199155.838
Dinokeng,638941.1451,7199658.975
Dinokeng,640407.0065,7198782.032
Dinokeng,641959.2148,7199143.492
Dinokeng,634875.3287,7199022.377
Dinokeng,634272.1383,7200929.097
Dinokeng,632527.6878,7203234.693
Dinokeng,631361.6271,7202727.72
Dinokeng,632752.178,7200564.221
Dinokeng,634657.8586,7198416.457
Dinokeng,635343.4726,7196416.942
Dinokeng,632551.091,7192206.906
Dinokeng,632382.3625,7190604.71
Dinokeng,631968.0112,7188369.141
Dinokeng,634228.9916,7187525.955
Dinokeng,636640.879,7187403.031
Dinokeng,636159.9835,7189676.404
Dinokeng,633873.2628,7189982.948
Dinokeng,635136.6399,7190958.322
Dinokeng,634543.1453,7192479.538
Dinokeng,637038.1594,7194897.829
Ithala,915674.5914,6951964.887
Ithala,915596.4015,6949341.905
Ithala,915940.7015,6944358.766
Ithala,915706.7272,6941733.286
Ithala,918527.5265,6940932.606
Ithala,920218.1655,6943039.324
Ithala,917708.4573,6945916.724
Ithala,918841.1294,6949242.336
Ithala,918928.9343,6951228.635
Ithala,920455.6744,6954010.902
Ithala,922835.875,6953823.479
Ithala,921717.4111,6950057.666
Ithala,921593.1842,6948321.378
Ithala,921347.4087,6945444.081
Ithala,923798.3897,6947031.041
Ithala,924847.152,6949029.641
Ithala,926125.3129,6954282.71
Ithala,925160.7791,6945746.266
Ithala,927841.6399,6947232.311
Ithala,929301.6375,6944563.874
Ithala,931221.9776,6955540.83
Ithala,932564.5752,6954972.522
Ithala,934813.9423,6955246.231
Ithala,932560.53,6952584.191
Ithala,935230.7921,6953198.389
Ithala,931949.7289,6950183.954
Ithala,934135.5733,6949557.793
Ithala,932079.3328,6947599.821
Ithala,924377.8059,6951374.18
Ithala,926519.2949,6950488.847
Khamab,115054.7034,7191134.117
Khamab,115265.8189,7193309.844
Khamab,116462.2872,7197024.054
Khamab,118888.5141,7197066.204
Khamab,120901.3549,7195805.681
Khamab,118296.2035,7194575.775
Khamab,123867.0894,7198626.391
Khamab,124020.968,7193111.045
Khamab,119274.5107,7192261.861
Khamab,121271.8375,7189344.107
Khamab,128260.3159,7182704.768
Khamab,131981.6027,7181421.518
Khamab,128419.8444,7179859.565
Khamab,129644.7831,7186614.641
Khamab,124689.3964,7178733.48
Khamab,119012.7498,7177795.141
Khamab,126771.478,7186126.721
Khamab,133116.2129,7186058.604
Khamab,127444.9071,7175218.403
Khamab,120036.4876,7172863.522
Khamab,130288.371,7171459.051
Khamab,132135.2311,7169000.082
Khamab,135030.2993,7169989.526
Khamab,127396.9237,7168352.484
Khamab,130299.4341,7165869.973
Khamab,127000.6573,7165715.829
Khamab,123548.5266,7167780.471
Khamab,124589.6198,7163452.994
Khamab,125718.3421,7167438.76
Khamab,124724.9882,7173374.519
Khamab,108296.1789,7165765.839
Khamab,118197.8451,7158041.549
Khamab,114504.2033,7166636.226
Khamab,109217.1958,7159980.121
Khamab,118664.8601,7161116.987
Khamab,115874.0567,7163190.857
Khamab,105957.0058,7168099.933
Khamab,108295.6847,7163388.304
Khamab,120908.6028,7159884.931
Khamab,107269.7323,7156828.076
Kwandwe,453387.8052,6341250.637
Kwandwe,451725.7234,6340024.267
Kwandwe,455478.6977,6341314.942
Kwandwe,456971.2814,6340376.531
Kwandwe,459147.2644,6341034.466
Kwandwe,461524.6422,6339954.257
Kwandwe,460980.5932,6338110.543
Kwandwe,459282.4579,6338015.59
Kwandwe,458142.8573,6338929.778
Kwandwe,456089.5707,6337639.267
Kwandwe,455587.1026,6338954.439
Kwandwe,453569.2035,6337161.927
Kwandwe,451696.2671,6337426.58
Kwandwe,453232.3048,6335574.764
Kwandwe,455657.1282,6336647.576
Kwandwe,457859.6522,6335758.877
Kwandwe,460482.6865,6335927.22
Kwandwe,462369.6591,6335182.889
Kwandwe,461141.365,6334411.818
Kwandwe,458814.062,6334309.896
Kwandwe,455031.322,6334670.135
Kwandwe,455830.213,6332995.208
Kwandwe,453107.9005,6331902.995
Kwandwe,450742.7313,6334920.686
Kwandwe,449676.5834,6332791.668
Kwandwe,452293.6441,6330513.48
Kwandwe,455247.5388,6331382.86
Kwandwe,457540.6738,6330296.694
Kwandwe,454513.8297,6329654.585
Kwandwe,454104.0339,6327183.71
Kwandwe,452780.5952,6328531.377
Kwandwe,450658.8009,6328595.306
Kwandwe,458092.4152,6337051.711
Kwandwe,457458.1611,6339828.025
Kwandwe,448872.9303,6328153.224
Kwandwe,449551.0996,6326649.429
Kwandwe,451089.1962,6326288.29
Kwandwe,452491.2799,6327019.468
Kwandwe,453235.6464,6333863.784
Kwandwe,458728.5472,6331991.702
KPGR,948525.0088,6933766.548
KPGR,962032.0253,6937577.616
KPGR,956025.4385,6934141.071
KPGR,951578.2826,6933139.051
KPGR,951648.8941,6934427.702
KPGR,963487.1875,6939470.669
KPGR,960965.2412,6939685.217
KPGR,961405.5124,6941114.482
KPGR,966094.1517,6940235.989
KPGR,965892.05,6938446.471
KPGR,949040.4893,6937197.823
KPGR,952146.8396,6936802.848
KPGR,958717.0709,6938359.714
KPGR,960653.3288,6936386.191
KPGR,958371.7212,6935524.319
KPGR,960138.361,6933737.235
KPGR,955988.3558,6939547.888
KPGR,953206.9903,6935314.338
KPGR,949683.0794,6935059.469
KPGR,950304.9538,6933465.193
KPGR,955260.3034,6936307.882
KPGR,953385.4524,6938193.664
KPGR,950916.0039,6937859.712
KPGR,947607.7982,6938937.336
KPGR,958005.3194,6933364.312
KPGR,958174.5984,6931186.344
KPGR,955806.8534,6931478.766
KPGR,953134.5695,6931963.208
KPGR,954217.6406,6933435.25
KPGR,949804.4501,6940437.703
KPGR,968507.3904,6940459.172
KPGR,957409.967,6941151.616
KPGR,954338.1503,6941230.865
KPGR,947664.991,6945786.718
KPGR,950222.3439,6947449.559
KPGR,952069.2124,6947964.803
KPGR,955866.7444,6947350.413
KPGR,953217.1789,6944857.483
KPGR,951808.7496,6944671.86
KPGR,949617.9641,6944943.834
KPGR,950024.4868,6943182.049
KPGR,954708.443,6946175.593
KPGR,948321.7453,6949732.85
KPGR,957895.254,6929682.095
KPGR,964289.3411,6932981.524
KPGR,963065.1851,6934727.583
KPGR,962254.1784,6935188.539
KPGR,960798.276,6934619.149
KPGR,960652.9565,6932246.268
KPGR,960907.6974,6931369.719
KPGR,962302.961,6932773.794
KPGR,962048.4379,6931467.548
KPGR,961688.2934,6930609.886
KPGR,961862.2547,6929251.786
KPGR,959645.6405,6930575.093
KPGR,960569.4028,6929989.963
KPGR,963640.9261,6928699.405
KPGR,964867.954,6930513.081
KPGR,965158.3894,6926910.783
KPGR,960508.7944,6926359.085
KPGR,957575.4253,6927890.422
KPGR,958291.6179,6928754.712
Lapalala,635848.9915,7355355.001
Lapalala,636530.3795,7353978.326
Lapalala,641754.5757,7357696.109
Lapalala,638970.737,7352519.922
Lapalala,641805.0552,7354861.306
Lapalala,635955.4384,7374446.612
Lapalala,628118.4342,7354662.032
Lapalala,628793.6385,7357181.53
Lapalala,631508.7878,7354371.414
Lapalala,624472.8334,7357714.637
Lapalala,629934.599,7370569.267
Lapalala,633777.39,7367760.352
Lapalala,639769.0787,7374734.066
Lapalala,636202.2133,7376169.851
Lapalala,632694.3154,7371383.979
Lapalala,637653.8428,7368062.518
Lapalala,640752.1117,7371115.238
Lapalala,634009.771,7369669.798
Lapalala,630720.1378,7366054.796
Lapalala,631662.6145,7363723.366
Lapalala,630260.2568,7362713.962
Lapalala,634388.9176,7361260.283
Lapalala,633787.4114,7359617.271
Lapalala,638059.6304,7359943.987
Lapalala,635602.1109,7365569.069
Lapalala,638330.1166,7364650.074
Lapalala,638026.5342,7357361.106
Lapalala,632103.0642,7358426.951
Lapalala,624333.5465,7368939.792
Lapalala,628431.6508,7369156.152
Lapalala,627245.934,7366972.253
Lapalala,621390.6353,7363031.913
Lapalala,620426.2609,7360228.638
Lapalala,623820.2178,7363272.947
Lapalala,627061.4186,7362074.283
Lapalala,626687.8935,7358756.419
Lapalala,623580.0954,7359892.33
Lapalala,623833.3686,7365710.033
Lapalala,630368.2064,7360400.966
Lapalala,635660.5714,7372023.828
Loskop,729218.4301,7192057.664
Loskop,731842.7846,7190567.528
Loskop,733721.9297,7191002.666
Loskop,730289.9749,7189134.683
Loskop,734088.2997,7189378.229
Loskop,735040.3076,7186599.792
Loskop,736368.0612,7188039.404
Loskop,736887.0058,7186473.114
Loskop,733188.3652,7187873.353
Loskop,731559.3234,7186915.21
Loskop,730582.4897,7185126.706
Loskop,729515.8605,7186602.329
Loskop,726794.7356,7185070.503
Loskop,728109.1976,7182954.772
Loskop,725425.1527,7183155.348
Loskop,725528.0562,7181259.689
Loskop,723348.6663,7182503.043
Loskop,727485.149,7179625.195
Loskop,724846.5854,7178781.013
Loskop,726660.0477,7177651.049
Loskop,729890.7798,7181176.626
Loskop,731861.1545,7183358.052
Loskop,724551.6329,7176730.244
Loskop,722410.61,7176791.534
Loskop,720198.4987,7177298.031
Loskop,718484.1329,7176639.1
Loskop,723609.7813,7179403.498
Loskop,728240.2808,7190249.071
Loskop,730884.6844,7194105.987
Loskop,726958.2999,7186827.578
Loskop,727352.3781,7176254.007
Loskop,720993.0307,7181136.946
Loskop,719585.4624,7174692.828
Loskop,719978.4024,7179202.17
Madikwe,440760.8077,7267688.547
Madikwe,419499.151,7253500.241
Madikwe,418830.3082,7255878.268
Madikwe,417631.0109,7258342.808
Madikwe,417301.215,7260747.144
Madikwe,438788.2177,7265411.11
Madikwe,418797.3719,7264068.119
Madikwe,420768.1989,7268185.583
Madikwe,421743.7662,7266152.501
Madikwe,421389.5197,7263341.154
Madikwe,421971.077,7264046.503
Madikwe,420048.3191,7260232.877
Madikwe,420979.3089,7258675.75
Madikwe,422652.9773,7255688.719
Madikwe,421323.8915,7253029.072
Madikwe,424278.7018,7251367.975
Madikwe,427334.1669,7251553.858
Madikwe,428539.2733,7252586.674
Madikwe,424584.9094,7252649.76
Madikwe,424656.9316,7255188.21
Madikwe,428887.9556,7255708.973
Madikwe,431098.5413,7253447.931
Madikwe,432241.6048,7251567.799
Madikwe,434497.0235,7251945.237
Madikwe,417057.5904,7262762.194
Madikwe,437099.9355,7267252.754
Madikwe,435564.1774,7255154.881
Madikwe,432916.0074,7256040.305
Madikwe,437696.1053,7263345.537
Madikwe,432270.8427,7261674.569
Madikwe,430019.5644,7261171.707
Madikwe,428219.4201,7262218.879
Madikwe,426563.9532,7263391.72
Madikwe,430303.3002,7269691.794
Madikwe,428974.2361,7264885.905
Madikwe,432588.2738,7265633.69
Madikwe,433768.8069,7262630.797
Madikwe,428779.2395,7266814.977
Madikwe,432506.2595,7268352.865
Madikwe,434226.3394,7265938.324
Pilanesberg,504868.2476,7207892.53
Pilanesberg,506870.7568,7210712.008
